year,immig_status,tranwork_grp,pop,pct
2016,Illegal immigrants,Private motorized vehicle,1112905.1288518908,81.61115316334394
2016,Illegal immigrants,Public transport,117277.14825289811,8.600125078497342
2016,Illegal immigrants,Taxicab or ride-hailing services,1102.437346677554,0.08084353357730462
2016,Illegal immigrants,Walked only,42447.577647873615,3.1127502884341323
2016,Illegal immigrants,Worked at home,41725.16606305641,3.0597746654748663
2016,Legal immigrants,Bicycle,31715,0.6681310847276167
2016,Legal immigrants,Other,55485,1.1688870640426239
2016,Legal immigrants,Private motorized vehicle,4037505,85.05699496273613
2016,Legal immigrants,Public transport,260067,5.478759161654016
2016,Legal immigrants,Taxicab or ride-hailing services,5059,0.10657654603931936
2016,Legal immigrants,Walked only,109724,2.311524992610847
2016,Legal immigrants,Worked at home,247268,5.209126188189448
2016,Native-born citizens,Bicycle,130627,1.113434311577835
2016,Native-born citizens,Other,107831,0.919126484201195
2016,Native-born citizens,Private motorized vehicle,9951621,84.82531388777606
2016,Native-born citizens,Public transport,523359,4.460990973329128
2016,Native-born citizens,Taxicab or ride-hailing services,13654,0.11638353548871028
2016,Native-born citizens,Walked only,260916,2.2239875893930225
2016,Native-born citizens,Worked at home,743892,6.340763218234045
2017,Illegal immigrants,Bicycle,15499.652128418807,1.2009111016486491
2017,Illegal immigrants,Other,33136.45743492443,2.5674085633151713
2017,Illegal immigrants,Private motorized vehicle,1040392.3760389864,80.60947072257252
2017,Illegal immigrants,Public transport,114870.3500897396,8.900140308317232
2017,Illegal immigrants,Taxicab or ride-hailing services,2588.0947379092563,0.20052525547815286
2017,Illegal immigrants,Walked only,43186.112408089495,3.346054569368707
2017,Illegal immigrants,Worked at home,40984.700865057865,3.175489479299562
2017,Legal immigrants,Bicycle,30792,0.6400890038022434
2017,Legal immigrants,Other,48353,1.0051384645638437
2017,Legal immigrants,Private motorized vehicle,4104055,85.3130838042224
2017,Legal immigrants,Public transport,259108,5.386210106429972
2017,Legal immigrants,Taxicab or ride-hailing services,10652,0.22142855509552795
2017,Legal immigrants,Walked only,102904,2.139117915278841
2017,Legal immigrants,Worked at home,254717,5.294932150607172
2017,Native-born citizens,Bicycle,113668,0.9390859798861709
2017,Native-born citizens,Other,106192,0.8773218353104854
2017,Native-born citizens,Private motorized vehicle,10296150,85.06325537358798
2017,Native-born citizens,Public transport,532488,4.399232987803316
2017,Native-born citizens,Taxicab or ride-hailing services,25955,0.2144312964769818
2017,Native-born citizens,Walked only,252508,2.0861343791489007
2017,Native-born citizens,Worked at home,777149,6.420538147786166
2018,Illegal immigrants,Bicycle,16944.737899145886,1.2909541394009372
2018,Illegal immigrants,Other,36504.91424195648,2.781168432915411
2018,Illegal immigrants,Private motorized vehicle,1061523.0654992508,80.87334272340117
2018,Illegal immigrants,Public transport,102033.38272189928,7.773529373302105
2018,Illegal immigrants,Taxicab or ride-hailing services,4253.801177651682,0.3240806834052489
2018,Illegal immigrants,Walked only,41958.6232685456,3.1966654612476324
2018,Illegal immigrants,Worked at home,49356.212122873985,3.76025918632749
2018,Legal immigrants,Bicycle,32626,0.6725497419034192
2018,Legal immigrants,Other,55568,1.1454742860935818
2018,Legal immigrants,Private motorized vehicle,4131367,85.16366730700372
2018,Legal immigrants,Public transport,276636,5.702552271231358
2018,Legal immigrants,Taxicab or ride-hailing services,9251,0.19069937051273622
2018,Legal immigrants,Walked only,102331,2.1094430098301595
2018,Legal immigrants,Worked at home,243312,5.015614013425021
2018,Native-born citizens,Bicycle,107378,0.8738599040900954
2018,Native-born citizens,Other,129807,1.0563908116208443
2018,Native-born citizens,Private motorized vehicle,10405964,84.6854542178564
2018,Native-born citizens,Public transport,533533,4.34197969983517
2018,Native-born citizens,Taxicab or ride-hailing services,34563,0.2812794042081801
2018,Native-born citizens,Walked only,270726,2.203212915072875
2018,Native-born citizens,Worked at home,805811,6.557823047316432
2019,Illegal immigrants,Bicycle,17436.401606109466,1.338403397139771
2019,Illegal immigrants,Other,32778.8089192085,2.5160735685447975
2019,Illegal immigrants,Private motorized vehicle,1049303.6571189864,80.54365866562503
2019,Illegal immigrants,Public transport,111928.1119716774,8.591506933738218
2019,Illegal immigrants,Taxicab or ride-hailing services,5730.239293601796,0.43984830759422333
2019,Illegal immigrants,Walked only,43230.39461068783,3.3183284208345043
2019,Illegal immigrants,Worked at home,42368.63789778768,3.2521807065234603
2019,Legal immigrants,Bicycle,31754,0.6514028526825186
2019,Legal immigrants,Other,52121,1.0692123223740488
2019,Legal immigrants,Private motorized vehicle,4122016,84.55920454755257
2019,Legal immigrants,Public transport,286789,5.883201257100422
2019,Legal immigrants,Taxicab or ride-hailing services,13857,0.2842630638540549
2019,Legal immigrants,Walked only,99396,2.0390136028604777
2019,Legal immigrants,Worked at home,268777,5.513702353575905
2019,Native-born citizens,Bicycle,104759,0.8406835666862394
2019,Native-born citizens,Other,122819,0.9856137895248832
2019,Native-born citizens,Private motorized vehicle,10503385,84.28892184994842
2019,Native-born citizens,Public transport,572323,4.592851601643473
2019,Native-born citizens,Taxicab or ride-hailing services,37290,0.2992496129375984
